"endTime","artistName","trackName","msPlayed"
"2022-03-02 11:41","Carly Rae Jepsen","I Didn’t Just Come Here To Dance",1675
"2022-03-02 11:41","Panic! At The Disco","Crazy = Genius",13606
"2022-03-02 11:42","Rex Orange County","KEEP IT UP",3031
"2022-03-02 11:45","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",207280
"2022-03-02 11:48","BTS","Dynamite",199053
"2022-03-02 11:49","BTS","Butter - Megan Thee Stallion Remix",14261
"2022-03-05 01:59","Taylor Swift","Welcome To New York",212600
"2022-03-05 02:00","BTS","Butter - Megan Thee Stallion Remix",10312
"2022-03-05 02:02","BTS","Butter - Megan Thee Stallion Remix",152993
"2022-03-05 02:17","blackbear","idfc",97486
"2022-03-05 02:21","Coldplay","My Universe",228000
"2022-03-05 02:24","BTS","Permission to Dance",187585
"2022-03-05 02:26","Machine Gun Kelly","my ex's best friend (with blackbear)",139460
"2022-03-05 02:33","blackbear","I felt that",202589
"2022-03-05 02:36","BTS","Butter",164441
"2022-03-05 03:02","The Maine","Black Butterflies and Déjà Vu",203057
"2022-03-05 03:06","blackbear","I feel 2 much",240037
"2022-03-05 03:09","Twenty One Pilots","Shy Away",175044
"2022-03-05 03:13","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",207280
"2022-03-05 03:19","Coldplay","My Universe - SUGA's Remix",188234
"2022-03-05 03:38","Rex Orange County","Always",110111
"2022-03-05 03:46","Rex Orange County","Always",841
"2022-03-05 03:50","Bruno Mars","That's What I Like",206693
"2022-03-05 03:53","Rex Orange County","KEEP IT UP",183000
"2022-03-05 03:56","Taylor Swift","Welcome To New York",212600
"2022-03-05 04:00","BTS","Dynamite",199053
"2022-03-05 04:03","BTS","Film out",214620
"2022-03-05 04:05","blackbear","4u",100906
"2022-03-05 04:05","Khalid","Better",1275
"2022-03-05 04:08","Twenty One Pilots","Good Day",204400
"2022-03-05 04:11","BTS","Life Goes On",1936
"2022-03-05 04:11","Rex Orange County","10/10",3628
"2022-03-05 04:11","blackbear","ain't trippin",5161
"2022-03-05 04:11","The Maine","Lips",158092
"2022-03-05 04:11","Rex Orange County","Laser Lights",8572
"2022-03-05 04:11","blackbear","i needed you",1090
"2022-03-05 04:14","blackbear","hot girl bummer",188343
"2022-03-05 04:18","Jawsh 685","Savage Love (Laxed – Siren Beat) [BTS Remix]",184905
"2022-03-05 04:22","Twenty One Pilots","The Outside",216758
"2022-03-05 04:25","blackbear","hot girl bummer",5963
